"交互ID","版本","端","组件/位置","触发者","前置状态","API operationId","OpenAPI状态","成功状态","失败反馈","最低权限","需求ID","门禁ID","实现状态"
"INT-D-042","0.7","Discord","服务中心/刷新余额","用户","已绑定","getMyBalance","OpenAPI v0.7 已冻结","显示 providerBalanceMinor、reservedMinor、availableMinor、currency、fetchedAt","第三方超时显示临时不可用；不把陈旧值称为实时值","用户","REQ-P0-FUNDS-01","GATE-P0-02","计划开发"
"INT-D-043","0.7","Discord","服务中心/消费记录","用户","已绑定","listMyConsumptions","OpenAPI v0.7 已冻结","分页展示订单捕获、礼物捕获、释放、退款和 Adjustment","空数据；错误附 request_id","用户","REQ-P0-AUDIT-01","—","计划开发"
"INT-D-044","0.7","Discord","服务中心/我的收益","用户或陪玩","已绑定且当前用户为受益人","listMyCommissions","OpenAPI v0.7 已冻结","只展示当前用户作为受益人的收益；来源用户默认脱敏","空状态；永不返回用户的出向推荐关系或受益人信息","用户","REQ-P0-PRIVACY-01;REQ-P0-REFERRAL-01","—","计划开发"
"INT-D-045","0.7","Discord","服务中心/客服任务进度","用户","存在本人活动任务","listCurrentUserStaffTasks","OpenAPI v0.7 已冻结","展示任务状态、认领、最近进展和下一步，不含内部备注","404 使用统一无活动任务提示；错误附 request_id","用户","REQ-P0-SUPPORT-01","—","计划开发"
"INT-D-046","0.7","Discord","通用错误/安全重试原请求","用户或陪玩","请求超时且服务端声明可安全重试","local","OpenAPI v0.7 已冻结","复用原 idempotencyKey 返回同一业务结果，不重复预留、捕获或建任务","资金结果未知时先查询；不可重试时禁用并转客服","原请求权限","REQ-P0-SUPPORT-01;REQ-P0-FUNDS-01","GATE-P0-02","计划开发"
"INT-A-001","0.7","Dashboard","登录后/加载能力","员工","Discord OAuth2 成功且 staff_account 有效","getMyCapabilities","OpenAPI v0.7 已冻结","返回四级 level、权限码、scope、阈值和 step-up 状态并裁剪导航","STAFF_ACCOUNT_REQUIRED；ROLE_ELEVATION_PENDING 保持旧级别","L1_SUPPORT","REQ-P0-RBAC-01","—","计划开发"
"INT-A-002","0.7","Dashboard","运营工作台/八项指标","员工","后台会话有效","getDashboardSummary","现有","按 scope 返回今日订单、进行中订单、待处理任务、已完成净消费、礼物净消费、预留总额、派单成功率和异常数","401 跳转登录；错误附 request_id；金额不由前端汇总","L1_SUPPORT","REQ-P0-DASH-01","—","计划开发"
"INT-A-003","0.7","Dashboard","任务队列/筛选与刷新","员工","后台会话有效","listStaffTasks","现有","L1 个人、L2 团队、L3/L4 全局分页结果","空数据可清除筛选；403 不返回目标数据","L1_SUPPORT","REQ-P0-RBAC-01;REQ-P0-SUPPORT-01","—","计划开发"
"INT-A-004","0.7","Dashboard","任务详情/打开","员工","对任务有 scope","getStaffTask","现有","展示脱敏上下文、预留、自动化、时间线、频道和可用动作","403 不泄露对象；404 使用统一不可用提示","L1_SUPPORT","REQ-P0-SUPPORT-01;REQ-P0-RBAC-01","—","计划开发"
"INT-A-005","0.7","Dashboard","任务详情/认领","员工","任务 OPEN","claimStaffTask","现有","任务 CLAIMED","CONFLICT：已被其他人员认领并刷新","L1_SUPPORT","REQ-P0-SUPPORT-01","—","计划开发"
"INT-A-006","0.7","Dashboard","任务详情/接管处理","员工","任务已认领或允许主管接管","claimStaffTask","OpenAPI v0.7 已冻结","记录当前处理人、接管理由和自动化状态","CONFLICT：任务已结案；越权提交审批或拒绝","L1_SUPPORT（本人任务）","REQ-P0-AUTOMATION-01","—","计划开发"
"INT-A-007","0.7","Dashboard","任务或订单/暂停自动流程","员工","关键阶段允许暂停且任务已认领","pauseOrderAutomation","OpenAPI v0.7 已冻结","暂停下单后续、派单、取消或完成自动动作；保留预留和订单状态并写审计","重复暂停幂等；CONFLICT 刷新；不自动裁决资金","L1_SUPPORT（本人任务）","REQ-P0-AUTOMATION-01","—","计划开发"
"INT-A-008","0.7","Dashboard","任务或订单/恢复自动流程","员工","自动化 PAUSED 且阻塞条件已解除","resumeOrderAutomation","OpenAPI v0.7 已冻结","按最新版本恢复 API 自动流程并记录操作者","条件未解除或版本变化返回 CONFLICT；不得跳过审批","L1_SUPPORT（本人任务）","REQ-P0-AUTOMATION-01","—","计划开发"
"INT-A-009","0.7","Dashboard","任务详情/核对提交","员工","自己已认领且备注完整","verifyStaffTask","现有","任务 VERIFIED 并进入审批路线","VALIDATION_ERROR 或 CONFLICT","L1_SUPPORT","REQ-P0-SUPPORT-01","—","计划开发"
"INT-A-010","0.7","Dashboard","订单详情/打开与完整时间线","员工","具备订单读取 scope","getAdminOrder","现有","展示需求、双方就绪、余额摘要、预留/交易/频道/人工动作完整时间线","403 不泄露数据；404 使用统一不可用提示","L1_SUPPORT","REQ-P0-AUDIT-01;REQ-P0-FUNDS-01","GATE-P0-02","计划开发"
"INT-A-011","0.7","Dashboard","订单详情/打开 Discord","员工","具备订单读取 scope","getAdminOrder","OpenAPI v0.7 已冻结","返回受审计且有时效的订单频道链接","频道缺失或越权返回安全错误","L1_SUPPORT","REQ-P0-SUPPORT-01","—","计划开发"
"INT-A-012","0.7","Dashboard","订单详情/客服接管","员工","订单关键阶段允许人工接管","pauseOrderAutomation","OpenAPI v0.7 已冻结","记录接管人、范围、原因和恢复条件；不覆盖订单事实","越权返回 APPROVAL_PENDING；CONFLICT 刷新","L1_SUPPORT（本人任务）","REQ-P0-AUTOMATION-01","—","计划开发"
"INT-A-013","0.7","Dashboard","订单详情/人工转派","员工","订单允许转派且目标陪玩符合资格","reassignOrder","现有","更新接单陪玩、频道权限和时间线","L1 返回 APPROVAL_PENDING；目标不合格；CONFLICT 刷新","L2_SUPERVISOR","REQ-P0-AUTOMATION-01","—","计划开发"
"INT-A-014","0.7","Dashboard","订单详情/退款或释放","员工","存在可退款捕获或可释放预留且金额合法","refundOrder","现有","按事实追加退款交易；未捕获金额走释放，不覆盖原记录","L1 提交审批；超限升级；未知结果保持 EXCEPTION","L2_SUPERVISOR（≤50000 CNY minor）","REQ-P0-FUNDS-01;REQ-P0-AUDIT-01","GATE-P0-02","计划开发"
"INT-A-015","0.7","Dashboard","订单详情/异常结案","员工","原因码、捕获/释放分配、收益和证据完整","resolveOrder","现有","原子追加结案、部分捕获、释放、退款、收益 Adjustment 和审计","APPROVAL_PENDING；金额越界；CONFLICT；第三方结果未知","L2_SUPERVISOR（限额内）","REQ-P0-FUNDS-01;REQ-P0-AUDIT-01","GATE-P0-02","计划开发"
"INT-A-016","0.7","Dashboard","用户详情/查看消费","员工","具备用户读取 scope","listAdminUserConsumptions","现有","分页展示订单、礼物、释放、退款与 Adjustment；推荐来源字段不返回","403；空数据；错误附 request_id","L1_SUPPORT","REQ-P0-PRIVACY-01;REQ-P0-AUDIT-01","—","计划开发"
"INT-A-017","0.7","Dashboard","用户详情/添加风险标记","员工","用户存在且原因完整","createUserRiskFlag","现有","追加风险标记和审计，不自动暂停账户","L1 禁用；重复标记返回现有记录","L2_SUPERVISOR","REQ-P0-RBAC-01","—","计划开发"
"INT-A-018","0.7","Dashboard","用户详情/暂停账户","员工","用户 ACTIVE 且原因完整","setUserOperationalStatus","现有","用户进入 PAUSED；保留历史数据和审计","L1/L2 提交审批；CONFLICT 刷新","L3_OPERATIONS","REQ-P0-RBAC-01","—","计划开发"
"INT-A-019","0.7","Dashboard","陪玩详情/编辑运营标签","员工","标签在配置集合内","updatePlayerOperationalTags","现有","更新派单标签并记录操作者","L1 禁用；VALIDATION_ERROR 标注无效标签","L2_SUPERVISOR","REQ-P0-PLAYER-01;REQ-P0-RBAC-01","GATE-P0-04","计划开发"
"INT-A-020","0.7","Dashboard","陪玩详情/暂停或恢复","员工","陪玩 ACTIVE 或 PAUSED 且无冲突","setPlayerOperationalStatus","现有","准入状态更新并影响派单资格","L1/L2 提交审批；CONFLICT 刷新","L3_OPERATIONS","REQ-P0-PLAYER-01;REQ-P0-RBAC-01","GATE-P0-04","计划开发"
"INT-A-021","0.7","Dashboard","陪玩详情/审核通过","员工","陪玩 PENDING_REVIEW 且标签完整","approvePlayer","现有","陪玩 ACTIVE，可进入候选筛选","L1/L2 不可执行；校验失败保持原状态","L3_OPERATIONS","REQ-P0-PLAYER-01;REQ-P0-RBAC-01","GATE-P0-04","计划开发"
"INT-A-022","0.7","Dashboard","服务目录/新建版本","员工","双价格、单位和最低数量完整","createServiceCatalogVersion","现有","创建不可覆盖的新版本","价格不完整不得上架；L2 禁用","L3_OPERATIONS","REQ-P0-CATALOG-01","—","计划开发"
"INT-A-023","0.7","Dashboard","服务目录/上下架","员工","目标版本存在且 expectedVersion 匹配","updateServiceCatalogVersion","现有","状态更新；历史订单仍引用原快照","CONFLICT 刷新；下架不删除历史","L3_OPERATIONS","REQ-P0-CATALOG-01","—","计划开发"
"INT-A-024","0.7","Dashboard","礼物审批/查询","员工","具备任务或礼物读取 scope","listAdminGiftRequests","现有","展示预留状态、有效期、核对、捕获和播报状态","L1 仅核对；错误附 request_id","L1_SUPPORT","REQ-P0-GIFT-01;REQ-P0-RBAC-01","GATE-P0-02","计划开发"
"INT-A-025","0.7","Dashboard","礼物审批/批准并捕获","员工","VERIFIED、预留有效、余额复核通过、金额在权限内","approveGiftRequest","现有","捕获预留一次并进入 CAPTURED，创建消费和 Outbox","超权限返回 APPROVAL_PENDING；预留过期或余额变化不捕获","L2_SUPERVISOR（≤200000 CNY minor）","REQ-P0-GIFT-01;REQ-P0-FUNDS-01","GATE-P0-02","计划开发"
"INT-A-026","0.7","Dashboard","失败播报/重试","员工","礼物 CAPTURED 且 Outbox FAILED","retryOutboxJob","OpenAPI v0.7 已冻结","只重试消息并更新 ANNOUNCED；不重复捕获","任务正在运行时返回 CONFLICT","L2_SUPERVISOR","REQ-P0-GIFT-01;REQ-P0-SUPPORT-01","—","计划开发"
"INT-A-027","0.7","Dashboard","收益计划/查询事实","员工","具备收益读取 scope","listAdminCommissions","OpenAPI v0.7 已冻结","L3/L4 分页展示计划、受益人、脱敏来源、净基数、金额、状态和 Adjustment","L1 隐藏；L2 仅任务级有限结果且不返回受益人/金额","L2_SUPERVISOR（有限）","REQ-P0-REFERRAL-01;REQ-P0-PRIVACY-01","—","计划开发"
"INT-A-028","0.7","Dashboard","收益计划/绑定老板带新","员工","PROMOTER_FIRST_PURCHASE 资格通过且无有效来源","createReferralAttribution","OpenAPI v0.7 已冻结","创建唯一互斥关系；结算一次后永久结束","自荐、重复账号、绑定过晚或已存在来源拒绝并审计","L3_OPERATIONS","REQ-P0-REFERRAL-01","—","计划开发"
"INT-A-029","0.7","Dashboard","收益计划/绑定陪玩来源","员工","PLAYER_LIFETIME 资格通过且无有效来源","createReferralAttribution","OpenAPI v0.7 已冻结","创建唯一互斥的长期陪玩来源关系","自荐、重复账号、冲突来源或资格不足拒绝并审计","L3_OPERATIONS","REQ-P0-REFERRAL-01","—","计划开发"
"INT-A-030","0.7","Dashboard","PROMOTER_FIRST_PURCHASE/管理计划","员工","具备计划管理权限且 step-up 满足策略","updatePolicySetting","OpenAPI v0.7 已冻结","创建固定额或首笔净消费百分比的新配置版本","影响历史结算的修改被拒绝；CONFLICT 刷新","L3_OPERATIONS","REQ-P0-REFERRAL-01","—","计划开发"
"INT-A-031","0.7","Dashboard","PLAYER_LIFETIME/管理计划","员工","具备计划管理权限且 step-up 满足策略","updatePolicySetting","OpenAPI v0.7 已冻结","创建净订单和/或净礼物长期比例的新配置版本","影响历史结算的修改被拒绝；CONFLICT 刷新","L3_OPERATIONS","REQ-P0-REFERRAL-01","—","计划开发"
"INT-A-032","0.7","Dashboard","收益事实/确认或标记发放","员工","收益状态允许迁移","updateCommission","现有","追加状态事件和审计","CONFLICT；不得删除或覆盖原收益","L3_OPERATIONS","REQ-P0-REFERRAL-01;REQ-P0-AUDIT-01","—","计划开发"
"INT-A-033","0.7","Dashboard","收益事实/查看 Adjustment","员工","具备收益审计权限","getCommissionConfidential","OpenAPI v0.7 已冻结","返回非负 absolute amount、type、原因和关联退款/结案","L1/L2 不返回；404 不泄露对象","L3_OPERATIONS","REQ-P0-REFERRAL-01;REQ-P0-AUDIT-01","—","计划开发"
"INT-A-034","0.7","Dashboard","审批队列/提交审批","员工","动作超当前最低权限等级","createApprovalRequest","现有","创建唯一待处理请求并保留对象版本和预留状态","重复提交返回已有请求；对象变化后失效","L1_SUPPORT","REQ-P0-RBAC-01","—","计划开发"
"INT-A-035","0.7","Dashboard","审批详情/批准","员工","当前等级不低于 required_level、对象与预留版本未变","approveApprovalRequest","现有","允许同一人发起并幂等执行原动作，记录完整决定与审计","409 对象变化；428 step-up；权限不足则保持待处理","required_level（累积继承）","REQ-P0-RBAC-01;REQ-P0-AUDIT-01","—","计划开发"
"INT-A-036","0.7","Dashboard","审批详情/拒绝","员工","达到 required_level 且原因完整","rejectApprovalRequest","现有","审批 REJECTED 并通知申请人；若业务要求则释放预留","PERMISSION_DENIED 或 CONFLICT","required_level","REQ-P0-RBAC-01","—","计划开发"
"INT-A-037","0.7","Dashboard","权限管理/更新 Role 映射","员工","近期 step-up 有效且映射合法","updateDiscordRoleMapping","现有","创建新映射版本并触发全量对账","VALIDATION_ERROR；CONFLICT；不直接越级授权 L3/L4","L4_ADMIN_OWNER","REQ-P0-RBAC-01","—","计划开发"
"INT-A-038","0.7","Dashboard","权限管理/确认 L3 或 L4 升级","员工","ROLE_ELEVATION_PENDING 且操作者不是升权目标账号","approveStaffRoleElevation","现有","更新内部有效级别、permissionsVersion 并撤销旧会话","目标账号确认自身升权会被拒绝；Role 已移除时返回 CONFLICT","L4_ADMIN_OWNER","REQ-P0-RBAC-01","—","计划开发"
"INT-A-039","0.7","Dashboard","权限管理/人工降权或撤权","员工","目标不是唯一 bootstrap 管理员且原因完整","updateStaffRole","现有","降低内部级别并立即撤销权限","禁止绕过 Role 首次升级规则；CONFLICT 刷新","L4_ADMIN_OWNER","REQ-P0-RBAC-01","—","计划开发"
"INT-A-040","0.7","Dashboard","权限管理/撤销会话","员工","目标 staff_account 存在","revokeStaffSessions","现有","全部后台会话立即失效","重复执行返回已撤销状态","L4_ADMIN_OWNER","REQ-P0-RBAC-01","—","计划开发"
"INT-S-001","0.7","Bot 内部","Discord Role 同步","Sapphire Listener","guildMemberUpdate 或启动对账","syncDiscordRoles","现有","L1/L2 自动同步；L3/L4 生成待确认升级；降级立即撤权","服务鉴权失败记录告警；不采信前端自报 Role","Bot 服务身份","REQ-P0-RBAC-01","—","计划开发"
