"编号","分类","配置键/核对项","接入时必须确定或证明","我方 P0 要求 / Mock 默认","验收证据","责任角色","上线影响"
"PAY-V001","供应商与环境","PAYMENT_PROVIDER_ID","稳定且不可复用的供应商英文标识","Mock 使用 mock-native-hold 或 mock-local-fallback；生产写入版本化配置","L4 批准的集成配置记录","L4_ADMIN_OWNER","阻断生产"
"PAY-V002","供应商与环境","PAYMENT_PROVIDER_API_VERSION","生产 API 版本与弃用政策","版本固定，不自动漂移到 latest","供应商正式版本文档与响应头实测","L4_ADMIN_OWNER / 供应商技术","阻断生产"
"PAY-V003","供应商与环境","PAYMENT_PROVIDER_BASE_URL","沙箱与生产 Base URL、区域和隔离方式","沙箱与生产完全隔离；Mock 为 http://localhost:4100","正式文档与连通性测试","L4_ADMIN_OWNER / 开发","阻断联调"
"PAY-V004","供应商与环境","NETWORK_EGRESS_RULES","出口 IP、DNS、端口和地域限制","仅 API/Adapter 可访问；Bot 与浏览器禁止直连","网络变更记录与沙箱连通截图","L4_ADMIN_OWNER / 运维","阻断生产"
"PAY-V005","身份能力","RESOLVE_USER_MODE","一次性绑定码或外部用户 ID 的验证方式","优先一次性码；凭证用后即弃且不持久化","供应商文档与 PAY-C01 结果","产品 / 开发 / 供应商技术","阻断账户绑定"
"PAY-V006","身份能力","EXTERNAL_USER_ID_STABILITY","外部用户 ID 是否稳定、跨环境是否唯一","provider + external_user_id 唯一；环境不得混用","书面说明与重复绑定测试","开发 / 供应商技术","阻断生产"
"PAY-V007","余额能力","PROVIDER_BALANCE_SEMANTICS","第三方字段是账面余额、可扣余额、冻结额还是信用额度","适配器统一输出 providerBalanceMinor；不得命名为 availableMinor","字段定义、余额变化样本与 PAY-C02","产品 / 开发 / 供应商技术","阻断预留"
"PAY-V008","余额能力","SUPPORTED_CURRENCIES","账户币种和跨币种规则","P0 只启用 CNY，不做汇率换算","币种清单与 CNY 测试账户","产品 / L4_ADMIN_OWNER","阻断生产"
"PAY-V009","余额能力","MONEY_UNIT","金额单位、精度和小数规则","我方使用 integer minor units；拒绝任何舍入","1 分、100 分与边界值测试","开发 / 供应商技术","阻断资金写入"
"PAY-V010","模式选择","CAPABILITY_DISCOVERY_RESPONSE","discoverCapabilities 是否准确报告 hold、debit、refund、Webhook 与 TTL","响应只报告能力；启用仍需阻断证据和 L4 批准","正式能力表、响应快照与 PAY-C03/PAY-C04","开发 / L4_ADMIN_OWNER / 供应商技术","阻断模式选择"
"PAY-V011","模式选择","FUNDING_MODE_APPROVAL","生产选择 PROVIDER_NATIVE_HOLD 或 LOCAL_RESERVATION_FALLBACK","一个版本只批准一种默认模式；每笔 FundReservation 快照 mode 且生命周期不切换","L4 审批记录、配置版本与 PAY-C26","产品 / L3_OPERATIONS / L4_ADMIN_OWNER","阻断生产"
"PAY-V012","原生 Hold","HOLD_CREATE_CAPABILITY","能否按用户、金额、币种、业务引用和到期时间创建 hold","必须幂等并返回稳定 hold ref、状态和 expiresAt","正式文档、成功/失败/重复沙箱结果与 PAY-C05","开发 / 供应商技术","阻断原生 Hold 模式"
"PAY-V013","原生 Hold","HOLD_CAPTURE_CAPABILITY","能否全额和按批准金额部分 capture","订单完成、礼物批准才 capture；readiness 不 capture","正式文档、全额/部分捕获结果与 PAY-C08/PAY-C28","产品 / 开发 / 供应商技术","阻断原生 Hold 模式"
"PAY-V014","原生 Hold","HOLD_RELEASE_CAPABILITY","能否全额释放和释放未捕获剩余","捕获前取消、拒绝、撤回、失败和过期只 release","正式文档、重复释放与部分剩余测试 PAY-C09","开发 / 供应商技术","阻断原生 Hold 模式"
"PAY-V015","原生 Hold","HOLD_GET_CAPABILITY","能否按 hold ref 或幂等键查询当前状态","超时、PENDING、UNKNOWN、重启和回调补偿依赖 getHold","查询文档与 PAY-C10 故障演练","开发 / 供应商技术","阻断原生 Hold 模式"
"PAY-V016","原生 Hold","HOLD_EXPIRY_LIMITS","最小/最大 TTL、自动过期时点、时区和宽限规则","最大 TTL 必须覆盖业务窗口加安全余量；本地默认提前 60 秒过期","TTL 文档、边界沙箱测试与 PAY-C07/PAY-C27","产品 / 开发 / L4_ADMIN_OWNER","阻断原生 Hold 模式"
"PAY-V017","原生 Hold","HOLD_IDEMPOTENCY","create/capture/release 的幂等键作用域和保存期","同键同指纹返回原结果；不同指纹 IDEMPOTENCY_CONFLICT","并发重复写测试与供应商书面声明","开发 / 供应商技术","阻断原生 Hold 模式"
"PAY-V018","本地回退","FALLBACK_DEBIT_CAPABILITY","供应商无可用 hold 时能否执行单笔 debit","仅允许 capture 已有本地 FundReservation；不提供裸 ORDER/GIFT debit","正式文档、成功/不足/失败测试与 PAY-C12/PAY-C14","产品 / 开发 / L4_ADMIN_OWNER","阻断本地回退"
"PAY-V019","本地回退","FALLBACK_DEBIT_IDEMPOTENCY_AND_LOOKUP","debit 是否原生幂等且可按幂等键或 provider ref 查询","超时不盲重试；原键 getTransaction 必须可恢复","并发重复、超时后提交和查询证据 PAY-C17","开发 / 供应商技术","阻断本地回退"
"PAY-V020","本地回退","FUND_RESERVATION_BINDING","所有 fallback debit 是否强制携带 fundReservationId 和 fundReservationVersion","缺任一字段返回 VALIDATION_ERROR；旧版本或生命周期冲突返回 RESERVATION_CONFLICT；供应商调用计数为零","API/Adapter spy 报告与 PAY-C11/PAY-C13","开发 / QA","阻断本地回退"
"PAY-V021","本地回退","DIRECT_ORDER_GIFT_DEBIT_GUARD","是否存在可绕过 FundReservation 的 ORDER/GIFT 资金入口","Bot、Dashboard、Job、人工结案和内部接口全部禁止裸 debit","路由枚举、静态扫描、权限测试与 PAY-C12","架构负责人 / 开发 / 安全负责人","阻断 P0 上线"
"PAY-V022","退款能力","FULL_REFUND_CAPABILITY","是否支持已捕获金额的全额退款","捕获后取消使用 refund；捕获前取消使用 release","正式文档、到账核验与 PAY-C16","产品 / L4_ADMIN_OWNER / 供应商技术","阻断订单上线"
"PAY-V023","退款能力","PARTIAL_REFUND_CAPABILITY","是否支持部分退款、最小金额与次数限制","异常结案需要部分退款；不支持时禁用自动部分退款并走批准流程","部分退款沙箱结果与产品降级批准","产品 / L3_OPERATIONS / L4_ADMIN_OWNER","阻断异常结案自动化"
"PAY-V024","退款能力","REFUND_IDEMPOTENCY_AND_LOOKUP","退款幂等键、保存期和查询方式","同一退款意图复用原键；成功与未决累计不得超捕获金额","重复/超时/查询测试与 PAY-C16/PAY-C17","开发 / 供应商技术","阻断退款上线"
"PAY-V025","Webhook","WEBHOOK_EVENT_COVERAGE","是否覆盖 hold、debit 和 refund 状态事件","映射 HOLD_CREATED/HOLD_UPDATED/HOLD_CAPTURED/HOLD_RELEASED/HOLD_EXPIRED 与 DEBIT_UPDATED/REFUND_UPDATED","事件目录、逐状态样本与 PAY-C18 至 PAY-C20","开发 / 供应商技术","阻断回调启用"
"PAY-V026","Webhook","WEBHOOK_EVENT_ID","每个事件是否有稳定唯一 ID","provider + event_id 唯一；缺失时只能采用批准的规范化哈希","重复投递实测与去重记录","开发 / 供应商技术","阻断回调启用"
"PAY-V027","认证与密钥","OUTBOUND_AUTH_MODE","API Key、Bearer、HMAC、mTLS 或 OAuth2 Client Credentials","每供应商只启用正式支持的一种模式","认证文档与 401/成功测试","L4_ADMIN_OWNER / 开发","阻断联调"
"PAY-V028","认证与密钥","OUTBOUND_AUTH_HEADERS","Header、签名字段、Canonical String 与大小写","全部封装在 Adapter；不透传到 Bot、Dashboard 或日志","脱敏抓包与契约映射测试","开发 / 安全负责人","阻断生产"
"PAY-V029","认证与密钥","CREDENTIAL_ROTATION_POLICY","有效期、双密钥窗口、轮换和回退步骤","密钥只存 Secret Manager；L4 + step-up 操作","沙箱轮换演练记录","L4_ADMIN_OWNER / 运维","阻断生产"
"PAY-V030","认证与密钥","MTLS_CERTIFICATE_POLICY","证书链、更新周期和吊销处理","仅在供应商要求时启用；证书不进仓库或镜像","握手结果与到期告警","L4_ADMIN_OWNER / 运维","按供应商要求阻断"
"PAY-V031","Webhook 安全","WEBHOOK_SIGNATURE_ALGORITHM","签名算法、编码和 Canonical String","解析 JSON 前针对原始 bytes 验签；不接受仅靠来源 IP","官方签名样例与 PAY-C18","开发 / 供应商技术","阻断回调启用"
"PAY-V032","Webhook 安全","WEBHOOK_TIMESTAMP_HEADER","时间戳字段、格式和时区","Mock 使用 Unix seconds；默认重放窗口 300 秒","过期与未来时间戳测试","开发 / 供应商技术","阻断回调启用"
"PAY-V033","Webhook 安全","WEBHOOK_REPLAY_WINDOW_SECONDS","允许时钟偏差和重放窗口","生产值由供应商证据配置化；超窗映射 REPLAY_REJECTED","PAY-C18 与时钟偏差记录","L4_ADMIN_OWNER / 开发","阻断回调启用"
"PAY-V034","Webhook 安全","WEBHOOK_SECRET_ROTATION","回调密钥是否支持 active + previous","优先双密钥；否则维护窗口必须有回滚","沙箱轮换演练","L4_ADMIN_OWNER / 运维","阻断生产"
"PAY-V035","协议与字段","REQUEST_CONTENT_TYPE","请求编码、字符集和压缩","Adapter 内统一 UTF-8 JSON；表单/XML 单独映射","示例请求与映射测试","开发 / 供应商技术","阻断联调"
"PAY-V036","协议与字段","PROVIDER_TIME_FORMAT","时间格式、精度和时区","输出 RFC 3339 UTC；无法解析映射 SCHEMA_MISMATCH","跨时区样本测试","开发 / 供应商技术","阻断对账"
"PAY-V037","协议与字段","PROVIDER_REFERENCE_FIELDS","hold、capture、debit、refund 与原交易引用字段","本地保留原值；唯一范围至少包含 provider；普通用户不可见","字段表与唯一性测试","开发 / 供应商技术","阻断生产"
"PAY-V038","协议与字段","HOLD_STATUS_MAPPING","所有 hold 原始状态和终态定义","完整映射 UNKNOWN/PENDING/ACTIVE/PARTIALLY_CAPTURED/CAPTURED/RELEASED/EXPIRED/FAILED","状态映射表、逐状态样本与 PAY-C20/PAY-C27","开发 / 产品 / 供应商技术","阻断原生 Hold 模式"
"PAY-V039","协议与字段","TRANSACTION_STATUS_MAPPING","fallback debit 与 refund 原始状态和终态","映射 UNKNOWN/PENDING/SUCCEEDED/FAILED；未知状态保持 UNKNOWN 并告警","状态映射表与逐状态样本","开发 / 产品 / 供应商技术","阻断本地回退与退款"
"PAY-V040","协议与字段","PROVIDER_ERROR_MAPPING","余额不足、预留冲突、取消预览过期、自动化终态冲突、限流、认证、Schema 和系统错误","对外对齐 VALIDATION_ERROR、IDEMPOTENCY_CONFLICT、INSUFFICIENT_AVAILABLE_BALANCE、INSUFFICIENT_FUNDS、RESERVATION_CONFLICT、CANCELLATION_PREVIEW_STALE、AUTOMATION_STATE_CONFLICT、PROVIDER_UNAVAILABLE、PROVIDER_TIMEOUT、SERVICE_NOT_AVAILABLE","错误样本、映射测试与 OpenAPI 对照","开发 / 供应商技术","阻断生产"
"PAY-V041","协议与字段","IDEMPOTENCY_KEY_LIMITS","Header 名、长度、字符集、作用域和保存期","验证 hold/capture/release/debit:reservation/refund 键不截断不碰撞","最大长度、重复键和过期键测试","开发 / 供应商技术","阻断生产"
"PAY-V042","协议与字段","METADATA_LIMITS","字段数量、长度和允许字符","只发送业务 UUID、资金来源和 request_id；不发送聊天、语音或密钥","脱敏请求样本审查","开发 / 安全负责人","阻断生产"
"PAY-V043","超时与重试","CONNECT_TIMEOUT_MS","合理连接超时与区域延迟","Prototype 2000 ms；仅 L4 可修改版本化配置","沙箱 P95/P99 延迟报告","开发 / 运维","阻断生产调优"
"PAY-V044","超时与重试","READ_TIMEOUT_MS","能力、用户、余额、hold 与交易查询总超时","Prototype 5000 ms；最多 2 次 200/500 ms 全抖动重试","故障注入结果","开发 / 运维","阻断生产调优"
"PAY-V045","超时与重试","WRITE_TIMEOUT_MS","hold、capture、release、fallback debit 与 refund 总超时","Prototype 8000 ms；0 次盲重试，先 getHold/getTransaction","PAY-C10/PAY-C17 故障演练","开发 / 运维","阻断生产"
"PAY-V046","超时与重试","RATE_LIMIT_POLICY","限流维度、配额、Retry-After 和突发限制","遵守 Retry-After；同一用户资金写串行；禁止无限重试","429 沙箱或供应商证据","开发 / 供应商技术","阻断容量验收"
"PAY-V047","超时与重试","PROVIDER_RETRY_GUIDANCE","允许重试的状态与网络错误","读取只重试明确瞬态错误；写入只能原键查询后重试","正式重试说明与故障注入记录","开发 / 供应商技术","阻断生产"
"PAY-V048","交易规则","INSUFFICIENT_FUNDS_SEMANTICS","余额不足是否创建供应商资源及其错误码","新预留不足映射 INSUFFICIENT_AVAILABLE_BALANCE；站外消费导致 fallback capture 失败映射 INSUFFICIENT_FUNDS；均不得写成功消费","低余额与站外消费测试 PAY-C14/PAY-C15","开发 / 产品","阻断生产"
"PAY-V049","交易规则","TERMINAL_STATUS_RULES","供应商终态是否可能后续改写","保留首个可信终态；冲突事件只记录并立即告警","书面说明与乱序回调 PAY-C20","开发 / 供应商技术","阻断生产"
"PAY-V050","交易规则","REFUND_AMOUNT_RULES","币种、累计上限、手续费和最小金额","成功及未决退款累计不超已捕获金额；原捕获不可修改","部分/重复/超额退款测试","开发 / 产品 / 供应商技术","阻断退款上线"
"PAY-V051","交易规则","REFUND_DESTINATION","退款是否回原用户与原资金路径","P0 只退原路径；客户端不能指定收款方","文档与退款到账核验","产品 / L4_ADMIN_OWNER","阻断退款上线"
"PAY-V052","Webhook","WEBHOOK_RETRY_POLICY","供应商重试间隔、次数与成功响应","重复事件返回 2xx 且不重复应用；业务处理异步","回调重试演练与去重记录","开发 / 供应商技术","阻断回调启用"
"PAY-V053","Webhook","WEBHOOK_ORDERING_SIGNAL","sequence、version 或 occurredAt 的可靠性","优先 provider sequence；否则 occurredAt + 终态优先级","乱序 hold/debit/refund 测试 PAY-C20","开发 / 供应商技术","阻断回调启用"
"PAY-V054","对账与恢复","QUERY_RETENTION","hold 和交易可查询多久、历史是否完整","覆盖预留、退款与争议保留期；未决在 15/60/300/900 秒查询","保留政策与历史查询测试","L4_ADMIN_OWNER / 供应商技术","阻断生产"
"PAY-V055","对账与恢复","UNKNOWN_RESULT_PROCEDURE","超时无 ref 且按幂等键查不到时如何确认","锁定原意图不重写；30 分钟创建 AUTOMATION_FAILURE reason=PAYMENT_REVIEW","故障演练、客服任务与 PAY-C10/PAY-C17","L2_SUPERVISOR / L3_OPERATIONS","阻断自动恢复"
"PAY-V056","对账与恢复","PROVIDER_RECONCILIATION_EXPORT","是否提供余额、hold 和交易导出","P0 不依赖批量导出；如有仅增强核对，不替代逐笔查询","导出样本与字段说明","L3_OPERATIONS / 供应商技术","非阻断"
"PAY-V057","对账与恢复","REFUND_PENDING_SLA","退款未决正常时长和最终确认","未确认前业务显示处理中并保持 EXCEPTION，不提前显示完成","SLA 与未决退款测试","产品 / L2_SUPERVISOR","阻断退款体验验收"
"PAY-V058","余额缺口","OUT_OF_BAND_PROVIDER_SPEND","用户能否在供应商其他入口消费以及余额更新延迟","周期刷新、新预留前、fallback capture 前和异常后复查 providerBalanceMinor","站外消费故障注入与 PAY-C15","产品 / 开发 / 供应商技术","阻断本地回退"
"PAY-V059","余额缺口","PROVIDER_BALANCE_DEFICIT_RUNBOOK","reservedMinor 大于 providerBalanceMinor 时的发现、冻结和处置","计算 deficitMinor；阻止新预留；保留现有记录；创建 AUTOMATION_FAILURE reason=PROVIDER_BALANCE_DEFICIT 并通知 L2/L3/L4","告警截图、任务记录、权限测试和演练复盘","L2_SUPERVISOR / L3_OPERATIONS / L4_ADMIN_OWNER","阻断本地回退"
"PAY-V060","沙箱与测试","SANDBOX_PARITY","沙箱与生产字段、签名、幂等、状态和 TTL 差异","所有差异列明；Mock 不能替代真实沙箱","差异清单与全量契约测试","开发 / 供应商技术","阻断生产"
"PAY-V061","沙箱与测试","SANDBOX_TEST_USERS","余额充足、不足、缺口、停用和找不到的账户","对应 BIND-OK、BIND-LOW、BIND-DEFICIT、BIND-SUSPENDED、BIND-MISSING","测试账号清单与权限确认","L4_ADMIN_OWNER / 供应商技术","阻断联调"
"PAY-V062","沙箱与测试","SANDBOX_STATE_CONTROL","能否触发 hold pending/expiry、capture/release、timeout-after-commit、退款失败和重复回调","不能触发的场景用 Mock；生产前至少验证真实成功、失败、查询、过期和退款","场景矩阵、契约报告与风险签字","开发 / L4_ADMIN_OWNER","阻断验收签字"
"PAY-V063","Mock 与测试","MOCK_NATIVE_HOLD_PROFILE","原生档案是否确定性实现完整 lifecycle","支持 CAPABILITIES_NATIVE_HOLD、HOLD_PENDING_THEN_ACTIVE、HOLD_CAPTURE_SUCCESS、HOLD_PARTIAL_CAPTURE、HOLD_RELEASE_SUCCESS、HOLD_EXPIRES","PAY-C03/PAY-C05 至 PAY-C10/PAY-C27/PAY-C28 报告","开发 / QA","阻断 P0 开发验收"
"PAY-V064","Mock 与测试","MOCK_LOCAL_FALLBACK_PROFILE","回退档案是否实现余额、预留绑定、debit、查询和缺口","支持 CAPABILITIES_LOCAL_FALLBACK、RESERVATION_BINDING_MISSING、RESERVATION_VERSION_CONFLICT、OUT_OF_BAND_SPEND_DEFICIT","PAY-C04/PAY-C11 至 PAY-C15/PAY-C17 报告","开发 / QA","阻断 P0 开发验收"
"PAY-V065","Mock 与测试","FALLBACK_CONCURRENCY_EVIDENCE","并发订单、礼物、Bot、Dashboard 与 Job 是否共享同一资金锁和版本控制","只有一个版本可 capture；失败请求不调用供应商；availableMinor 不超支","并发测试、provider spy 次数与数据库事务记录","开发 / QA","阻断本地回退"
"PAY-V066","业务时点","ORDER_RESERVE_CAPTURE_EVIDENCE","订单资金时点是否为提交 reserve、完成 capture","提交后立即计入 reservedMinor；readiness 不 capture；完成只捕获一次","端到端记录与 PAY-C21/PAY-C24","产品 / 开发 / QA","阻断订单上线"
"PAY-V067","业务时点","GIFT_RESERVE_CAPTURE_EVIDENCE","礼物资金时点是否为请求 reserve、批准 capture","创建请求即计入 reservedMinor；L1 核对不 capture；拒绝/过期/撤回 release；批准只捕获一次","端到端记录与 PAY-C22","L1_SUPPORT / L2_SUPERVISOR / 产品 / 开发 / QA","阻断礼物上线"
"PAY-V068","业务时点","PRE_POST_CAPTURE_REVERSAL_EVIDENCE","取消在捕获前后是否选择正确逆向动作","捕获前 release；捕获后 refund；部分结案 capture 批准额并 release 剩余","订单/礼物/部分结案测试与 PAY-C23/PAY-C28","产品 / 开发 / QA","阻断取消与结案上线"
"PAY-V069","业务时点","TWO_SIDED_READINESS_NO_CAPTURE","订单是否由用户和陪玩双方 readiness 才进入 IN_SERVICE","任何单方就绪不开始；readiness 转换不调用 capture/debit","双方顺序、重复与超时测试 PAY-C24","产品 / 开发 / QA","阻断服务开始流程"
"PAY-V070","运维与支持","PROVIDER_STATUS_AND_CONTACT","状态页、维护通知和事故联系人","供应商故障触发集成熔断与客服告警；L4 保存联系人","状态页订阅和联系人验证","L4_ADMIN_OWNER / 运维","阻断生产"
"PAY-V071","运维与支持","INCIDENT_NOTIFICATION_SLA","重复资金动作、延迟和数据事件通知时限","时限写入接入批准记录；不得只依赖公开状态页","合同条款或书面确认","L4_ADMIN_OWNER","阻断商务批准"
"PAY-V072","安全与隐私","TLS_REQUIREMENTS","TLS 版本、证书校验和弱算法","生产 TLS 1.2+ 且严格校验证书；禁止关闭验证","TLS 扫描和握手记录","运维 / 安全负责人","阻断生产"
"PAY-V073","安全与隐私","DATA_FIELDS_SHARED","供应商接收的用户、订单、礼物和预留字段","最小化为 external_user_id、金额、币种、业务 UUID、FundReservation 绑定和必要用途；不发送聊天/语音","数据流审查与脱敏样本","产品 / 安全负责人","阻断生产"
"PAY-V074","安全与隐私","PROVIDER_DATA_RETENTION","交易、hold、日志和个人数据保留删除规则","财务事实按合规保留；凭证、签名和原始正文不得长期保存","供应商隐私政策与内部数据清单","L4_ADMIN_OWNER / 安全负责人","阻断合规批准"
"PAY-V075","日志与审计","REDACTION_RULES","认证 Header、签名、绑定码、原始回调和外部用户 ID 如何脱敏","日志禁止凭证/签名/绑定码/原始正文；外部用户 ID 只留哈希或尾 4 位","日志采样审查与 PAY-C25","开发 / 安全负责人","阻断生产"
"PAY-V076","启用与停机","FUNDING_INTEGRATION_KILL_SWITCH","事故时如何停止新预留并保留恢复能力","L4 + step-up 停止新预留；getHold/getTransaction、Webhook、release、对账和已批准 refund 保持可用；既有 capture 依版本化事故策略","沙箱停机演练、权限与审计记录","L4_ADMIN_OWNER / 运维","阻断生产"
"PAY-V077","原生 Hold","HOLD_AMOUNT_INVARIANT","供应商是否返回原预留、已捕获、已释放和剩余金额","每次 get/create/capture/release 响应满足 capturedAmount + releasedAmount + remainingAmount = amount","完整 lifecycle 金额样本与 PAY-C31","开发 / 供应商技术","阻断原生 Hold 模式"
"PAY-V078","模式门禁","MODE_BLOCKING_EVIDENCE","两种模式各自的阻断证据是否已完整归档并与 capability snapshot 一致","原生模式通过 PAY-C34；本地回退通过 PAY-C35 和 L4 + step-up 批准；缺任一证据保持生产关闭","供应商文档、沙箱报告、能力快照、审批和 PAY-C34/PAY-C35","L3_OPERATIONS / L4_ADMIN_OWNER","阻断生产"
