"文案ID","版本","端","场景","组件","中文文案","显示条件","OpenAPI operationId","需求ID","门禁ID","备注","实现状态"
"COPY-D-001","0.7","Discord","公共入口","标题","陪玩服务中心","固定入口消息","—","REQ-P0-PRIVACY-01","—","公开可见","计划开发"
"COPY-D-002","0.7","Discord","公共入口","说明","创建一个私密订单，或查看你的余额、消费记录与“我的收益”。“我的收益”只表示你是受益人的记录。","固定入口消息","—","REQ-P0-PRIVACY-01","—","不展示出向推荐信息","计划开发"
"COPY-D-003","0.7","Discord","公共入口","提示","每位用户同时只能有一个进行中订单；已有订单时会直接带你返回原频道。","固定入口消息","—","REQ-P0-ORDER-01","GATE-P0-01","P0 活跃订单上限为 1","计划开发"
"COPY-D-004","0.7","Discord","公共入口","按钮","创建订单","始终显示","createOrder","REQ-P0-ORDER-01","GATE-P0-01","—","计划开发"
"COPY-D-005","0.7","Discord","公共入口","按钮","我的服务中心","始终显示","getMyServiceCenter","REQ-P0-PRIVACY-01","—","ephemeral","计划开发"
"COPY-D-010","0.7","Discord","账户绑定","标题","绑定业务账户","当前 Discord 尚未绑定","—","REQ-P0-ACCOUNT-01","—","Modal","计划开发"
"COPY-D-011","0.7","Discord","账户绑定","字段标签","一次性绑定码","绑定 Modal","—","REQ-P0-ACCOUNT-01","—","不收集支付密码","计划开发"
"COPY-D-012","0.7","Discord","账户绑定","安全提示","请确认正在绑定自己的账户。","提交前","—","REQ-P0-ACCOUNT-01","—","同时显示当前 Discord 与服务器","计划开发"
"COPY-D-013","0.7","Discord","账户绑定","原生操作","提交","输入格式有效","bindExternalAccount","REQ-P0-ACCOUNT-01","—","Discord 原生 Modal 提交；不可自定义按钮文案","计划开发"
"COPY-D-014","0.7","Discord","账户绑定","成功反馈","账户绑定成功，可用余额已刷新。","绑定成功","—","REQ-P0-FUNDS-01","GATE-P0-02","不得把第三方账户余额称为可用余额","计划开发"
"COPY-D-020","0.7","Discord","订单草稿","状态说明","请选择服务并填写即时单需求。确认提交前不会创建预留。","DRAFT","—","REQ-P0-ORDER-01;REQ-P0-FUNDS-01","GATE-P0-01;GATE-P0-02","—","计划开发"
"COPY-D-021","0.7","Discord","订单提交","状态说明","正在原子校验价格和余额并创建订单预留，请勿重复点击。","SUBMITTING","—","REQ-P0-FUNDS-01","GATE-P0-02","禁用重复提交","计划开发"
"COPY-D-022","0.7","Discord","待派单","状态说明","订单已预留；正在匹配在线且可接单的陪玩，并显示匹配阶段与已通知候选数。","PENDING_DISPATCH","—","REQ-P0-FUNDS-01;REQ-P0-MATCH-01","GATE-P0-02;GATE-P0-03","—","计划开发"
"COPY-D-023","0.7","Discord","已接单","状态说明","陪玩已接单。请进入订单频道沟通，并与陪玩分别确认就绪；双方都就绪后系统才开始计时。","ACCEPTED","—","REQ-P0-MATCH-01;REQ-P0-READY-01","GATE-P0-03;GATE-P0-05","—","计划开发"
"COPY-D-024","0.7","Discord","服务中","状态说明","双方已就绪，系统已开始计时。订单预留将在完成时捕获。","IN_SERVICE","—","REQ-P0-READY-01;REQ-P0-FUNDS-01","GATE-P0-05;GATE-P0-02","—","计划开发"
"COPY-D-025","0.7","Discord","待确认","状态说明","陪玩已申请完成，请核对服务后确认；确认后捕获订单预留，30 分钟未处理将转客服。","PENDING_CONFIRMATION","—","REQ-P0-FUNDS-01;REQ-P0-SUPPORT-01","GATE-P0-02","—","计划开发"
"COPY-D-026","0.7","Discord","已完成","状态说明","订单预留已捕获，消费、陪玩收益和符合条件的受益收益已记录。","COMPLETED","—","REQ-P0-FUNDS-01;REQ-P0-REFERRAL-01","GATE-P0-02","不向来源用户暴露受益信息","计划开发"
"COPY-D-027","0.7","Discord","已取消","状态说明","订单已取消，预留已释放。原资金事实不会删除，结果保留在时间线。","CANCELLED","—","REQ-P0-FUNDS-01;REQ-P0-AUDIT-01","GATE-P0-02","—","计划开发"
"COPY-D-028","0.7","Discord","异常","状态说明","自动流程已暂停，客服正在核对；有效预留保持，请勿重复提交。","EXCEPTION","—","REQ-P0-AUTOMATION-01;REQ-P0-FUNDS-01","GATE-P0-02","—","计划开发"
"COPY-D-030","0.7","Discord","订单确认","字段标签","第三方账户余额","确认摘要和订单面板","—","REQ-P0-FUNDS-01","GATE-P0-02","providerBalanceMinor","计划开发"
"COPY-D-031","0.7","Discord","订单确认","字段标签","预留金额","确认摘要和订单面板","—","REQ-P0-FUNDS-01","GATE-P0-02","reservedMinor","计划开发"
"COPY-D-032","0.7","Discord","订单确认","字段标签","可用余额","确认摘要和订单面板","—","REQ-P0-FUNDS-01","GATE-P0-02","availableMinor = providerBalanceMinor - reservedMinor","计划开发"
"COPY-D-033","0.7","Discord","订单确认","字段标签","提交后可用余额","提交前","—","REQ-P0-FUNDS-01","GATE-P0-02","由 API 返回预览","计划开发"
"COPY-D-034","0.7","Discord","订单确认","字段标签","结构化需求标签","DRAFT","—","REQ-P0-ORDER-01","GATE-P0-01","标签参与资格匹配","计划开发"
"COPY-D-035","0.7","Discord","订单确认","范围提示","P0 不提供用户挑选或指定陪玩。","结构化标签","—","REQ-P0-SCOPE-01","GATE-P0-03","不增加试音或客户选择","计划开发"
"COPY-D-036","0.7","Discord","订单确认","范围提示","尽快开始（即时单）","所有订单","—","REQ-P0-SCOPE-01","—","不出现预约入口","计划开发"
"COPY-D-037","0.7","Discord","订单确认","资金提示","确认提交将创建订单预留；订单完成时捕获，5 分钟派单超时保持，取消或 30 分钟到期时释放。","余额充足","—","REQ-P0-FUNDS-01","GATE-P0-02","—","计划开发"
"COPY-D-039","0.7","Discord","补充备注 Modal","字段标签","补充备注（可选）","订单 DRAFT","updateOrderDraft","REQ-P0-ORDER-01","GATE-P0-01","单字段；Discord 原生提交/取消","计划开发"
"COPY-D-040","0.7","Discord","订单面板","按钮","加载服务","订单 DRAFT","listServiceCatalog","REQ-P0-ORDER-01","GATE-P0-01","消息 String Select；最多 25 项","计划开发"
"COPY-D-041","0.7","Discord","订单面板","按钮","填写补充备注","订单 DRAFT","updateOrderDraft","REQ-P0-ORDER-01","GATE-P0-01","打开单字段 Modal","计划开发"
"COPY-D-042","0.7","Discord","订单面板","按钮","查看完整确认","字段完整","estimateOrder","REQ-P0-ORDER-01;REQ-P0-FUNDS-01","GATE-P0-01;GATE-P0-02","私密消息确认","计划开发"
"COPY-D-043","0.7","Discord","订单面板","按钮","确认提交并预留","DRAFT 且 availableMinor 足够","submitOrder","REQ-P0-FUNDS-01","GATE-P0-02","私密消息按钮","计划开发"
"COPY-D-044","0.7","Discord","订单提交","按钮","查询提交结果","提交超时或结果未知","getOrder","REQ-P0-FUNDS-01;REQ-P0-SUPPORT-01","GATE-P0-02","复用原幂等键","计划开发"
"COPY-D-045","0.7","Discord","订单面板","按钮","刷新订单","订单参与者","getOrder","REQ-P0-MATCH-01;REQ-P0-READY-01","GATE-P0-03;GATE-P0-05","—","计划开发"
"COPY-D-046","0.7","Discord","订单面板","按钮","进入订单频道","订单参与者且频道已授权","getOrder","REQ-P0-MATCH-01;REQ-P0-PLAYER-02","GATE-P0-03;GATE-P0-04","—","计划开发"
"COPY-D-047","0.7","Discord","双方就绪","按钮","我已就绪","订单 ACCEPTED","setOrderReadiness","REQ-P0-READY-01","GATE-P0-05","只更新当前参与方","计划开发"
"COPY-D-048","0.7","Discord","双方就绪","按钮","刷新就绪状态","订单 ACCEPTED 或 IN_SERVICE","getOrder","REQ-P0-READY-01","GATE-P0-05","—","计划开发"
"COPY-D-049","0.7","Discord","取消影响","按钮","刷新影响","取消前","previewOrderCancellation","REQ-P0-CANCEL-01","GATE-P0-06","预览不执行资金动作","计划开发"
"COPY-D-050","0.7","Discord","取消影响","按钮","确认取消","最新预览允许自动取消","cancelOrder","REQ-P0-CANCEL-01;REQ-P0-FUNDS-01","GATE-P0-06;GATE-P0-02","释放成功后才显示已取消","计划开发"
"COPY-D-051","0.7","Discord","取消影响","按钮","申请客服处理","不能自动取消或用户主动求助","createOrderStaffTask","REQ-P0-CANCEL-01;REQ-P0-SUPPORT-01","GATE-P0-06","—","计划开发"
"COPY-D-052","0.7","Discord","订单完成","按钮","申请完成","陪玩且订单 IN_SERVICE","requestOrderCompletion","REQ-P0-PLAYER-02","GATE-P0-04","不捕获订单预留","计划开发"
"COPY-D-053","0.7","Discord","订单完成","按钮","确认完成并捕获","用户且订单 PENDING_CONFIRMATION","confirmOrderCompletion","REQ-P0-FUNDS-01","GATE-P0-02","—","计划开发"
"COPY-D-060","0.7","Discord","陪玩工作台","标题","陪玩工作台","PlayerProfile 已绑定","getPlayerWorkbench","REQ-P0-PLAYER-01","GATE-P0-04","独立私密界面","计划开发"
"COPY-D-061","0.7","Discord","陪玩资格","字段标签","不符合原因","陪玩不满足候选资格","—","REQ-P0-PLAYER-01","GATE-P0-04","返回本人可理解原因和下一步","计划开发"
"COPY-D-062","0.7","Discord","陪玩状态","开关","接受新匹配","ACTIVE 陪玩","—","REQ-P0-PLAYER-01","GATE-P0-04","二元状态使用开关","计划开发"
"COPY-D-063","0.7","Discord","陪玩状态","按钮","保存可接单状态","ACTIVE 陪玩","setMyPlayerAvailability","REQ-P0-PLAYER-01","GATE-P0-04","AVAILABLE 或 BUSY","计划开发"
"COPY-D-064","0.7","Discord","陪玩工作台","按钮","查看匹配订单","陪玩可接单","getPlayerWorkbench","REQ-P0-PLAYER-02","GATE-P0-04","—","计划开发"
"COPY-D-065","0.7","Discord","匹配订单","按钮","查看完整要求","当前陪玩是候选","getPlayerWorkbench","REQ-P0-PLAYER-02","GATE-P0-04","客户敏感信息脱敏","计划开发"
"COPY-D-066","0.7","Discord","匹配订单","按钮","暂不接单","offer 未过期","declineOrderOffer","REQ-P0-PLAYER-02","GATE-P0-04","只影响本人本轮 offer","计划开发"
"COPY-D-067","0.7","Discord","匹配订单","按钮","确认接单","资格校验通过","acceptOrder","REQ-P0-PLAYER-02;REQ-P0-MATCH-01","GATE-P0-04;GATE-P0-03","第一位事务成功者胜出","计划开发"
"COPY-D-068","0.7","Discord","接单确认","提示","接单不开始计时，必须双方分别确认就绪。","接单前","—","REQ-P0-READY-01","GATE-P0-05","—","计划开发"
"COPY-D-069","0.7","Discord","陪玩工作台","按钮","查看当前订单","存在活跃订单","getPlayerWorkbench","REQ-P0-PLAYER-01","GATE-P0-04","—","计划开发"
"COPY-D-070","0.7","Discord","陪玩支持","按钮","联系陪玩支持","资格、计时或订单异常","createOrderStaffTask","REQ-P0-PLAYER-01;REQ-P0-SUPPORT-01","GATE-P0-04","—","计划开发"
"COPY-D-071","0.7","Discord","陪玩支持","按钮","查看支持进度","存在本人支持任务","listCurrentUserStaffTasks","REQ-P0-PLAYER-01;REQ-P0-SUPPORT-01","GATE-P0-04","不显示内部备注","计划开发"
"COPY-D-072","0.7","Discord","陪玩收益","按钮","收益明细","已绑定 PlayerProfile","listCurrentPlayerEarnings","REQ-P0-PLAYER-01","GATE-P0-04","不提供自动提现","计划开发"
"COPY-D-073","0.7","Discord","陪玩收益","按钮","刷新收益摘要","存在当前订单","getPlayerWorkbench","REQ-P0-PLAYER-01","GATE-P0-04","预计收益不是已结算","计划开发"
"COPY-D-080","0.7","Discord","送礼申请","标题","赠送礼物","订单允许送礼","listGiftCatalog","REQ-P0-GIFT-01","—","—","计划开发"
"COPY-D-081","0.7","Discord","送礼申请","确认提示","确认请求会立即预留礼物金额；批准时捕获，拒绝、过期或撤回后释放。","提交前","—","REQ-P0-GIFT-01;REQ-P0-FUNDS-01","GATE-P0-02","—","计划开发"
"COPY-D-082","0.7","Discord","送礼申请","按钮","确认请求并预留","礼物启用且 availableMinor 足够","createGiftRequest","REQ-P0-GIFT-01;REQ-P0-FUNDS-01","GATE-P0-02","—","计划开发"
"COPY-D-083","0.7","Discord","送礼申请","按钮","撤回并释放预留","礼物未捕获且可撤回","cancelGiftRequest","REQ-P0-GIFT-01;REQ-P0-FUNDS-01","GATE-P0-02","—","计划开发"
"COPY-D-084","0.7","Discord","送礼余额不足","错误","余额不足，还差 {shortfall}。请充值后刷新余额。","礼物金额大于 availableMinor","—","REQ-P0-GIFT-01","—","禁用确认","计划开发"
"COPY-D-085","0.7","Discord","送礼余额不足","按钮","前往充值","第三方充值入口可用","getCurrentBalance","REQ-P0-GIFT-01","—","—","计划开发"
"COPY-D-086","0.7","Discord","送礼审核","按钮","认领任务","任务 OPEN","claimStaffTask","REQ-P0-SUPPORT-01","—","—","计划开发"
"COPY-D-087","0.7","Discord","送礼审核","按钮","进入订单频道","任务 scope 有效","getAdminOrder","REQ-P0-SUPPORT-01","—","写审计","计划开发"
"COPY-D-088","0.7","Discord","送礼审核","按钮","加入语音","语音频道存在","getStaffTask","REQ-P0-SUPPORT-01","—","写审计","计划开发"
"COPY-D-089","0.7","Discord","送礼审核","按钮","私聊用户","联系方式可用","getStaffTask","REQ-P0-SUPPORT-01","—","写审计","计划开发"
"COPY-D-090","0.7","Discord","送礼审核","按钮","已核对，提交审批","任务已认领且记录完整","verifyStaffTask","REQ-P0-GIFT-01;REQ-P0-RBAC-01","—","—","计划开发"
"COPY-D-091","0.7","Discord","送礼审批","按钮","批准并捕获预留","权限、金额、状态和预留有效","approveGiftRequest","REQ-P0-GIFT-01;REQ-P0-FUNDS-01","GATE-P0-02","每个请求最多捕获一次","计划开发"
"COPY-D-092","0.7","Discord","送礼审批","按钮","拒绝并释放预留","礼物未捕获","rejectGiftRequest","REQ-P0-GIFT-01;REQ-P0-FUNDS-01","GATE-P0-02","—","计划开发"
"COPY-D-093","0.7","Discord","送礼审批","按钮","提交审批","当前角色不能直接批准","createApprovalRequest","REQ-P0-RBAC-01","—","显示审批编号和 required_level","计划开发"
"COPY-D-100","0.7","Discord","服务中心","按钮","刷新余额","已绑定","getMyBalance","REQ-P0-FUNDS-01","GATE-P0-02","展示三项余额和 fetchedAt","计划开发"
"COPY-D-101","0.7","Discord","服务中心","按钮","消费记录","已绑定","listMyConsumptions","REQ-P0-AUDIT-01","—","包含捕获、释放、退款和 Adjustment","计划开发"
"COPY-D-102","0.7","Discord","服务中心","按钮","我的收益","当前用户是受益人","listMyCommissions","REQ-P0-PRIVACY-01;REQ-P0-REFERRAL-01","—","不显示出向推荐关系","计划开发"
"COPY-D-103","0.7","Discord","服务中心","按钮","刷新处理进度","存在本人客服任务","listCurrentUserStaffTasks","REQ-P0-SUPPORT-01","—","不显示内部备注","计划开发"
"COPY-D-104","0.7","Discord","通用错误","按钮","安全重试","服务端声明可重试","local","REQ-P0-SUPPORT-01;REQ-P0-FUNDS-01","GATE-P0-02","复用原 idempotencyKey","计划开发"
"COPY-A-001","0.7","Dashboard","顶部栏","环境标识","PROTOTYPE","所有页面","—","REQ-P0-SCOPE-01","—","文档原型，不代表已实现","计划开发"
"COPY-A-002","0.7","Dashboard","工作台","范围","我的任务","L1_SUPPORT","—","REQ-P0-RBAC-01","—","参与者脱敏；收益隐藏","计划开发"
"COPY-A-003","0.7","Dashboard","工作台","范围","团队任务","L2_SUPERVISOR","—","REQ-P0-RBAC-01","—","收益仅任务级有限查看","计划开发"
"COPY-A-004","0.7","Dashboard","工作台","范围","全部业务","L3_OPERATIONS","—","REQ-P0-RBAC-01","—","可管理两类计划","计划开发"
"COPY-A-005","0.7","Dashboard","工作台","范围","全系统","L4_ADMIN_OWNER","—","REQ-P0-RBAC-01","—","敏感动作需要 step-up","计划开发"
"COPY-A-010","0.7","Dashboard","运营指标","标签","今日订单","工作台","getDashboardSummary","REQ-P0-DASH-01","—","八项指标之一","计划开发"
"COPY-A-011","0.7","Dashboard","运营指标","标签","进行中订单","工作台","getDashboardSummary","REQ-P0-DASH-01","—","八项指标之一","计划开发"
"COPY-A-012","0.7","Dashboard","运营指标","标签","待处理任务","工作台","getDashboardSummary","REQ-P0-DASH-01","—","八项指标之一","计划开发"
"COPY-A-013","0.7","Dashboard","运营指标","标签","已完成净消费","工作台","getDashboardSummary","REQ-P0-DASH-01","—","八项指标之一","计划开发"
"COPY-A-014","0.7","Dashboard","运营指标","标签","礼物净消费","工作台","getDashboardSummary","REQ-P0-DASH-01","—","八项指标之一","计划开发"
"COPY-A-015","0.7","Dashboard","运营指标","标签","预留总额","工作台","getDashboardSummary","REQ-P0-DASH-01","—","八项指标之一","计划开发"
"COPY-A-016","0.7","Dashboard","运营指标","标签","派单成功率","工作台","getDashboardSummary","REQ-P0-DASH-01","—","八项指标之一","计划开发"
"COPY-A-017","0.7","Dashboard","运营指标","标签","异常数","工作台","getDashboardSummary","REQ-P0-DASH-01","—","八项指标之一","计划开发"
"COPY-A-020","0.7","Dashboard","任务队列","按钮","刷新任务","后台会话有效","listStaffTasks","REQ-P0-SUPPORT-01","—","按 level scope 返回","计划开发"
"COPY-A-021","0.7","Dashboard","任务详情","按钮","查看任务","具备任务 scope","getStaffTask","REQ-P0-SUPPORT-01","—","—","计划开发"
"COPY-A-022","0.7","Dashboard","任务详情","按钮","接管处理","已认领或主管接管","claimStaffTask","REQ-P0-AUTOMATION-01","—","写审计","计划开发"
"COPY-A-023","0.7","Dashboard","任务或订单","按钮","暂停自动流程","关键阶段允许暂停","pauseOrderAutomation","REQ-P0-AUTOMATION-01","—","保持订单和预留事实","计划开发"
"COPY-A-024","0.7","Dashboard","任务或订单","按钮","恢复自动流程","阻塞条件已解除","resumeOrderAutomation","REQ-P0-AUTOMATION-01","—","按最新版本恢复","计划开发"
"COPY-A-025","0.7","Dashboard","订单详情","按钮","客服接管","关键阶段允许接管","pauseOrderAutomation","REQ-P0-AUTOMATION-01","—","不覆盖订单事实","计划开发"
"COPY-A-026","0.7","Dashboard","订单详情","按钮","刷新订单","具备订单 scope","getAdminOrder","REQ-P0-AUDIT-01","GATE-P0-02","返回完整业务和资金时间线","计划开发"
"COPY-A-027","0.7","Dashboard","订单详情","按钮","人工转派","L2+；L1 提交审批","reassignOrder","REQ-P0-AUTOMATION-01","—","目标必须符合资格","计划开发"
"COPY-A-028","0.7","Dashboard","订单详情","按钮","异常结案","L2+ 且金额合规","resolveOrder","REQ-P0-FUNDS-01;REQ-P0-AUDIT-01","GATE-P0-02","可部分捕获并释放剩余","计划开发"
"COPY-A-029","0.7","Dashboard","订单详情","按钮","退款","存在已捕获金额","refundOrder","REQ-P0-FUNDS-01;REQ-P0-AUDIT-01","GATE-P0-02","追加事实，不覆盖原记录","计划开发"
"COPY-A-030","0.7","Dashboard","用户详情","按钮","查看消费","具备用户 scope","listAdminUserConsumptions","REQ-P0-PRIVACY-01;REQ-P0-AUDIT-01","—","不返回推荐来源","计划开发"
"COPY-A-031","0.7","Dashboard","用户详情","按钮","添加风险标记","L2+","createUserRiskFlag","REQ-P0-RBAC-01","—","不自动暂停","计划开发"
"COPY-A-032","0.7","Dashboard","用户详情","按钮","暂停账户","L3+；较低级别提交审批","setUserOperationalStatus","REQ-P0-RBAC-01","—","—","计划开发"
"COPY-A-033","0.7","Dashboard","陪玩详情","按钮","编辑运营标签","L2+","updatePlayerOperationalTags","REQ-P0-PLAYER-01","GATE-P0-04","—","计划开发"
"COPY-A-034","0.7","Dashboard","陪玩详情","按钮","暂停接单","L3+；较低级别提交审批","setPlayerOperationalStatus","REQ-P0-PLAYER-01","GATE-P0-04","—","计划开发"
"COPY-A-035","0.7","Dashboard","陪玩详情","按钮","审核通过","L3+","approvePlayer","REQ-P0-PLAYER-01","GATE-P0-04","—","计划开发"
"COPY-A-040","0.7","Dashboard","服务目录","按钮","新建服务版本","L3+","createServiceCatalogVersion","REQ-P0-CATALOG-01","—","—","计划开发"
"COPY-A-041","0.7","Dashboard","服务目录","按钮","创建新版本或上下架","L3+","updateServiceCatalogVersion","REQ-P0-CATALOG-01","—","不覆盖历史快照","计划开发"
"COPY-A-050","0.7","Dashboard","礼物审批","按钮","批准并捕获","预留有效且权限足够","approveGiftRequest","REQ-P0-GIFT-01;REQ-P0-FUNDS-01","GATE-P0-02","不人工计算余额","计划开发"
"COPY-A-051","0.7","Dashboard","播报失败","按钮","重试播报","礼物 CAPTURED 且 Outbox FAILED","retryOutboxJob","REQ-P0-GIFT-01;REQ-P0-SUPPORT-01","—","只重试消息","计划开发"
"COPY-A-060","0.7","Dashboard","收益计划","机密提示","被推荐用户永远不能获知受益人、关系类型、比例、金额或状态。","所有员工视图","—","REQ-P0-PRIVACY-01;REQ-P0-REFERRAL-01","—","用户 API、Discord、错误、导出和通知均适用","计划开发"
"COPY-A-061","0.7","Dashboard","收益计划","标题","PROMOTER_FIRST_PURCHASE","L3/L4","—","REQ-P0-REFERRAL-01","—","老板带新；结算一次后永久结束","计划开发"
"COPY-A-062","0.7","Dashboard","收益计划","标题","PLAYER_LIFETIME","L3/L4","—","REQ-P0-REFERRAL-01","—","陪玩来源的长期符合条件净消费收益","计划开发"
"COPY-A-063","0.7","Dashboard","收益计划","按钮","绑定老板带新","L3+ 且资格通过","createReferralAttribution","REQ-P0-REFERRAL-01","—","两个计划互斥","计划开发"
"COPY-A-064","0.7","Dashboard","收益计划","按钮","绑定陪玩来源","L3+ 且资格通过","createReferralAttribution","REQ-P0-REFERRAL-01","—","两个计划互斥","计划开发"
"COPY-A-065","0.7","Dashboard","收益计划","按钮","管理老板带新计划","L3+","updatePolicySetting","REQ-P0-REFERRAL-01","—","配置版本化","计划开发"
"COPY-A-066","0.7","Dashboard","收益计划","按钮","管理陪玩长期计划","L3+","updatePolicySetting","REQ-P0-REFERRAL-01","—","配置版本化","计划开发"
"COPY-A-067","0.7","Dashboard","收益事实","按钮","刷新明细","L3+","listAdminCommissions","REQ-P0-REFERRAL-01;REQ-P0-PRIVACY-01","—","L2 仅任务级有限视图","计划开发"
"COPY-A-068","0.7","Dashboard","收益事实","按钮","确认或标记发放","L3+","updateCommission","REQ-P0-REFERRAL-01","—","追加状态事件","计划开发"
"COPY-A-069","0.7","Dashboard","收益事实","按钮","查看调整","L3+","getCommissionConfidential","REQ-P0-REFERRAL-01;REQ-P0-AUDIT-01","—","Adjustment 金额为非负绝对值","计划开发"
"COPY-A-070","0.7","Dashboard","审批","按钮","提交审批","超当前级别","createApprovalRequest","REQ-P0-RBAC-01","—","—","计划开发"
"COPY-A-071","0.7","Dashboard","审批","按钮","批准并执行","当前等级达到 required_level；允许同一人发起并执行","approveApprovalRequest","REQ-P0-RBAC-01","—","对象版本变化时失效","计划开发"
"COPY-A-072","0.7","Dashboard","审批","按钮","拒绝","达到 required_level","rejectApprovalRequest","REQ-P0-RBAC-01","—","—","计划开发"
"COPY-A-080","0.7","Dashboard","权限管理","按钮","修改 Role 映射","L4 + step-up","updateDiscordRoleMapping","REQ-P0-RBAC-01","—","内部审批结果是上限","计划开发"
"COPY-A-081","0.7","Dashboard","权限管理","按钮","确认升级","L4 且待确认 L3/L4","approveStaffRoleElevation","REQ-P0-RBAC-01","—","升权目标账号不能确认自身升级","计划开发"
"COPY-A-082","0.7","Dashboard","权限管理","按钮","调整级别","L4","updateStaffRole","REQ-P0-RBAC-01","—","立即撤销超出权限","计划开发"
"COPY-A-083","0.7","Dashboard","权限管理","按钮","撤销会话","L4","revokeStaffSessions","REQ-P0-RBAC-01","—","—","计划开发"
"COPY-S-001","0.7","Dashboard","通用状态","加载","正在加载","请求进行中","—","REQ-P0-SCOPE-01","—","使用稳定骨架","计划开发"
"COPY-S-002","0.7","Dashboard","通用状态","空数据","当前筛选下没有结果。","列表结果为空","—","REQ-P0-SCOPE-01","—","提供清除筛选","计划开发"
"COPY-S-003","0.7","Dashboard","通用状态","错误","暂时无法加载；安全重试会复用原幂等键。","安全可重试错误","local","REQ-P0-SUPPORT-01","—","附 request_id","计划开发"
"COPY-S-004","0.7","Dashboard","通用状态","无权限","无权访问此内容。","403","—","REQ-P0-RBAC-01","—","不泄露对象","计划开发"
